gvkey,iid,datadate,tic,exchg,,,
18036,1,2024-02-29,COMM,14,,,
18037,1,2024-02-29,CZNC,14,,,
18038,1,2024-02-29,FPF,11,,,
18038,1,2024-03-31,FPF,11,,,
18039,1,2024-02-29,DFP,11,,,
18040,1,2024-02-29,FRBK,19,,,
18043,1,2024-02-29,NWSA,14,,,
18043,1,2024-03-31,NWSA,14,,,
18043,2,2024-02-29,NWS,14,,,
18043,2,2024-03-31,NWS,14,,,
18047,1,2024-02-29,NDLS,14,,,
18049,1,2024-02-29,FNB,11,,,
18049,1,2024-03-31,FNB,11,,,
18067,1,2024-02-29,TIPX,17,,,
18068,1,2024-02-29,WDIV,17,,,
18070,1,2024-02-29,PSCBF,19,,,
18071,1,2024-02-29,REXR,11,,,
18073,1,2024-02-29,CHMI,11,,,
18075,90,2024-02-29,AZUL,11,,,
18080,1,2024-02-29,INTV,19,,,
18082,1,2024-02-29,PWCO,19,,,
18091,1,2024-02-29,CDXQ,19,,,
18094,1,2024-02-29,FMBL,19,,,
18094,1,2024-03-31,FMBL,19,,,
18096,1,2024-02-29,RVNU,17,,,
18096,1,2024-03-31,RVNU,17,,,
18097,1,2024-02-29,BFOR,17,,,
18107,1,2024-02-29,LWLW,19,,,
18111,1,2024-02-29,BNDX,14,,,
18111,1,2024-03-31,BNDX,14,,,
18112,1,2024-02-29,VWOB,14,,,
18112,1,2024-03-31,VWOB,14,,,
18114,1,2024-02-29,TGEN,19,,,
18117,1,2024-02-29,GULTU,19,,,
18121,1,2024-02-29,ARTH,19,,,
18143,01C,2024-02-29,BXF.,7,,,
18144,1,2024-02-29,BYU,14,,,
18145,1,2024-02-29,DOC.5,11,,,
18145,1,2024-03-31,DOC.5,11,,,
18159,1,2024-02-29,AGIO,14,,,
18160,1,2024-02-29,LGNC,19,,,
18162,1,2024-02-29,ESPR,14,,,
18164,1,2024-02-29,CLBR.U,11,,,
18164,2,2024-02-29,CLBR,11,,,
18166,1,2024-02-29,SWIOU,19,,,
18172,1,2024-02-29,ONTX,14,,,
18173,1,2024-02-29,EVOK,14,,,
18180,1,2024-02-29,ATBPF,19,,,
18180,01C,2024-02-29,ATE.,7,,,
18182,1,2024-02-29,FDBC,14,,,
18182,1,2024-03-31,FDBC,14,,,
18183,1,2024-02-29,FSDK,19,,,
18185,1,2024-02-29,PGHY,17,,,
18195,1,2024-02-29,FBAK,19,,,
18204,1,2024-02-29,ANIP,14,,,
18209,1,2024-02-29,XYLD,17,,,
18229,1,2024-02-29,ISRA,17,,,
18231,1,2024-02-29,WTER,19,,,
18241,1,2024-02-29,FCF,11,,,
18245,1,2024-02-29,PGZ,11,,,
18245,1,2024-03-31,PGZ,11,,,
18252,1,2024-02-29,IDOG,17,,,
18257,1,2024-02-29,DXJS,14,,,
18264,1,2024-02-29,FVCB,14,,,
18275,1,2024-02-29,CSHX,19,,,
18276,1,2024-02-29,THFF,14,,,
18289,1,2024-02-29,ASC,11,,,
18290,1,2024-02-29,DSS,12,,,
18293,1,2024-02-29,CWEN.A,11,,,
18293,3,2024-02-29,CWEN,11,,,
18296,1,2024-02-29,PPRQF,19,,,
18296,01C,2024-02-29,CHP.UN,7,,,
18301,1,2024-02-29,FKYS,19,,,
18301,1,2024-03-31,FKYS,19,,,
18304,1,2024-02-29,SPSM,17,,,
18307,1,2024-02-29,FLIC,14,,,
18307,1,2024-03-31,FLIC,14,,,
18312,1,2024-02-29,USFD,11,,,
18314,1,2024-02-29,IRMTF,19,,,
18314,01C,2024-02-29,ISV.,7,,,
18315,1,2024-02-29,PGEN,14,,,
18320,1,2024-02-29,FOXF,14,,,
18329,1,2024-02-29,BUSE,14,,,
18330,1,2024-02-29,EFRMF,19,,,
18330,01C,2024-02-29,EAM.,9,,,
18351,1,2024-02-29,EQX,12,,,
18351,01C,2024-02-29,EQX.,7,,,
18358,1,2024-02-29,FUNC,14,,,
18365,1,2024-02-29,WLYW,19,,,
18367,1,2024-02-29,RIHT,19,,,
18370,01C,2024-02-29,BGI.UN,7,,,
18373,1,2024-02-29,QUAL,21,,,
18383,1,2024-02-29,BRX,11,,,
18385,1,2024-02-29,FRAF,14,,,
18387,1,2024-02-29,CBDS,19,,,
18388,1,2024-02-29,SECUF,19,,,
18388,01C,2024-02-29,SECU.,9,,,
18395,1,2024-02-29,QOEG,19,,,
18397,1,2024-02-29,ALKM,19,,,
18398,1,2024-02-29,EAST,14,,,
18406,1,2024-02-29,VLMGF,19,,,
18406,01C,2024-02-29,VML.,9,,,
18418,1,2024-02-29,DGRS,14,,,
18424,1,2024-02-29,LPCN,14,,,
18428,1,2024-02-29,KIO,11,,,
18428,1,2024-03-31,KIO,11,,,
18434,1,2024-02-29,ALRS,14,,,
18434,1,2024-03-31,ALRS,14,,,
18441,1,2024-02-29,SPNT,11,,,
18442,1,2024-02-29,ELMA,19,,,
18442,1,2024-03-31,ELMA,19,,,
18465,1,2024-02-29,AR,11,,,
18466,90,2024-02-29,FUJHY,19,,,
18467,90,2024-02-29,FJTSY,19,,,
18468,1,2024-02-29,PAGP,14,,,
18475,1,2024-02-29,DGRE,14,,,
18476,1,2024-02-29,KWEB,17,,,
18486,1,2024-02-29,FMF,17,,,
18490,1,2024-02-29,LGMK,14,,,
18494,1,2024-02-29,IRT,11,,,
18498,1,2024-02-29,MUSA,11,,,
18498,1,2024-03-31,MUSA,11,,,
18500,1,2024-02-29,MLPX,17,,,
18509,1,2024-02-29,IPWR,14,,,
18522,01C,2024-02-29,VUN.,7,,,
18523,1,2024-02-29,VGHHF,19,,,
18523,01C,2024-02-29,VGH.,7,,,
18524,1,2024-02-29,HONT,19,,,
18525,01C,2024-02-29,VGG.,7,,,
18526,90,2024-02-29,HOKCY,19,,,
18527,01C,2024-02-29,VDU.,7,,,
18528,1,2024-02-29,VFCAF,19,,,
18528,01C,2024-02-29,VCN.,7,,,
18533,1,2024-02-29,HBNC,14,,,
18536,1,2024-02-29,RBII,19,,,
18540,1,2024-02-29,FNDB,17,,,
18541,1,2024-02-29,FNDX,17,,,
18542,1,2024-02-29,FNDA,17,,,
18543,1,2024-02-29,FNDF,17,,,
18544,1,2024-02-29,FNDC,17,,,
18547,1,2024-02-29,FNDE,17,,,
18549,1,2024-02-29,CLRO,14,,,
18556,1,2024-02-29,CHGG,11,,,
18562,1,2024-02-29,FATE,14,,,
18564,1,2024-02-29,AAOI,14,,,
18565,1,2024-02-29,ICOA,19,,,
18578,1,2024-02-29,RMAX,11,,,
18582,1,2024-02-29,GFELF,19,,,
18582,1,2024-03-31,GFELF,19,,,
18582,01C,2024-02-29,GDL.,7,,,
18582,01C,2024-03-31,GDL.,7,,,
18587,1,2024-02-29,TNTMF,19,,,
18587,01C,2024-02-29,XTM.,9,,,
18602,01C,2024-02-29,FLI.,7,,,
18603,1,2024-02-29,FID,14,,,
18616,1,2024-02-29,CANN,19,,,
18617,1,2024-02-29,GGBL,19,,,
18619,1,2024-02-29,VBNK,14,,,
18619,01C,2024-02-29,VBNK.,7,,,
18620,01C,2024-02-29,FSL.,7,,,
18620,01C,2024-03-31,FSL.,7,,,
18621,1,2024-02-29,MSFU,14,,,
18624,1,2024-02-29,PINC,14,,,
18626,1,2024-02-29,GLOB,11,,,
18629,1,2024-02-29,LGIH,14,,,
18630,1,2024-02-29,RNG,11,,,
18636,90,2024-02-29,DEO,11,,,
18642,01C,2024-02-29,PDF.,7,,,
18642,01C,2024-03-31,PDF.,7,,,
18644,1,2024-02-29,HMLN,19,,,
18645,01C,2024-02-29,PHE.,7,,,
18646,1,2024-02-29,OLKR,19,,,
18647,01C,2024-02-29,PBD.,7,,,
18647,01C,2024-03-31,PBD.,7,,,
18656,01C,2024-02-29,PRA.,7,,,
18658,1,2024-02-29,MGNX,14,,,
18666,1,2024-02-29,ASXC,12,,,
18671,01C,2024-02-29,PIN.,7,,,
18671,01C,2024-03-31,PIN.,7,,,
18672,1,2024-02-29,CRSXF,19,,,
18672,01C,2024-02-29,CSO.,9,,,
18675,1,2024-02-29,BURL,11,,,
18678,1,2024-02-29,HRCR,19,,,
18683,1,2024-02-29,SAIC,14,,,
18684,1,2024-02-29,ASAPF,19,,,
18684,01C,2024-02-29,ASG.,9,,,
18685,1,2024-02-29,ACAN,19,,,
18689,1,2024-02-29,VEEV,11,,,
18695,1,2024-02-29,CBFV,14,,,
18699,1,2024-02-29,PTC,14,,,
18700,1,2024-02-29,CTRRF,19,,,
18700,01C,2024-02-29,CRT.UN,7,,,
18709,90,2024-02-29,KAJMY,19,,,
18715,92,2024-02-29,KAOOY,19,,,
18720,1,2024-02-29,CHYPF,19,,,
18720,01C,2024-02-29,CHIP.H.,9,,,
18724,1,2024-02-29,KEWL,19,,,
18729,90,2024-02-29,KNBWY,19,,,
18731,01C,2024-02-29,HXE.,7,,,
18732,1,2024-02-29,LKFN,14,,,
18733,01C,2024-02-29,HXF.,7,,,
18738,1,2024-02-29,DOMH,14,,,
18745,1,2024-02-29,ESNT,11,,,
18745,1,2024-03-31,ESNT,11,,,
18748,90,2024-02-29,VJET,14,,,
18750,90,2024-02-29,CRTO,14,,,
18763,1,2024-02-29,NEAR,21,,,
18763,1,2024-03-31,NEAR,21,,,
18779,1,2024-02-29,LRFC,14,,,
18783,1,2024-02-29,DEDVF,19,,,
18783,01C,2024-02-29,DE.,9,,,
18792,1,2024-02-29,GLPI,14,,,
18792,1,2024-03-31,GLPI,14,,,
18817,1,2024-02-29,RGT,11,,,
18819,1,2024-02-29,DBEU,17,,,
18821,1,2024-02-29,HAUZ,17,,,
18829,1,2024-02-29,RDIV,17,,,
18839,1,2024-02-29,PBPB,14,,,
18842,1,2024-02-29,TCS,11,,,
18843,1,2024-02-29,FFMR,19,,,
18846,02C,2024-02-29,HYBR.,7,,,
18846,02C,2024-03-31,HYBR.,7,,,
18850,1,2024-02-29,ESBA,17,,,
18850,1,2024-03-31,ESBA,17,,,
18850,2,2024-02-29,OGCP,17,,,
18850,2,2024-03-31,OGCP,17,,,
18850,3,2024-02-29,FISK,17,,,
18850,3,2024-03-31,FISK,17,,,
18860,90,2024-02-29,MAKSY,19,,,
18861,1,2024-02-29,JNUG,17,,,
18862,1,2024-02-29,JDST,17,,,
18863,1,2024-02-29,MNAT,19,,,
18863,1,2024-03-31,MNAT,19,,,
18864,1,2024-02-29,MNBP,19,,,
18869,1,2024-02-29,WIX,14,,,
18870,1,2024-02-29,OPVS,19,,,
18874,1,2024-02-29,COSM,14,,,
18875,1,2024-02-29,EXPI,14,,,
18875,1,2024-03-31,EXPI,14,,,
18878,1,2024-02-29,GLYC,14,,,
18885,1,2024-02-29,CUEN,19,,,
18886,1,2024-02-29,RIGS,17,,,
18888,1,2024-02-29,AMRX,14,,,
18892,1,2024-02-29,MI,12,,,
18899,1,2024-02-29,TNDM,14,,,
18902,1,2024-02-29,NFRA,17,,,
18904,1,2024-02-29,NOBL,21,,,
18907,1,2024-02-29,ULST,17,,,
18907,1,2024-03-31,ULST,17,,,
18908,1,2024-02-29,ARAT,19,,,
18918,1,2024-02-29,MWRK,19,,,
18925,1,2024-02-29,TRVN,14,,,
18926,1,2024-02-29,DLNG,11,,,
18930,1,2024-02-29,KPTI,14,,,
18931,90,2024-02-29,ISUZY,19,,,
18938,1,2024-02-29,XNCR,14,,,
18939,1,2024-02-29,IPO,17,,,
18941,01C,2024-02-29,PSA.,7,,,
18941,01C,2024-03-31,PSA.,7,,,
18946,1,2024-02-29,MFBP,19,,,
18946,1,2024-03-31,MFBP,19,,,
18947,1,2024-02-29,VCYT,14,,,
18948,1,2024-02-29,MCHB,19,,,
18952,1,2024-02-29,DTLAP,19,,,
18958,1,2024-02-29,SLQD,14,,,
18958,1,2024-03-31,SLQD,14,,,
18959,1,2024-02-29,SHYG,17,,,
18959,1,2024-03-31,SHYG,17,,,
18967,1,2024-02-29,OMMSF,19,,,
18967,01C,2024-02-29,OMM.,9,,,
18968,1,2024-02-29,JBTC,19,,,
18974,1,2024-02-29,PMHG,19,,,
18977,1,2024-02-29,ROBO,17,,,
18978,1,2024-02-29,STKS,14,,,
18979,1,2024-02-29,NCXS,19,,,
18987,01C,2024-02-29,XXM.,7,,,
18987,03C,2024-02-29,XXM.B,7,,,
18988,01C,2024-02-29,YXM.,7,,,
18988,03C,2024-02-29,YXM.B,7,,,
18991,01C,2024-02-29,CSOC.A,9,,,
18991,02C,2024-02-29,CSOC.B,9,,,
18995,1,2024-02-29,STLNF,19,,,
18995,01C,2024-02-29,STUD.,9,,,
18998,1,2024-02-29,FTGC,14,,,
19000,1,2024-02-29,MMI,11,,,
19000,1,2024-03-31,MMI,11,,,
19001,1,2024-02-29,FDIS,17,,,
19003,1,2024-02-29,FSTA,17,,,
19004,1,2024-02-29,FENY,17,,,
19005,1,2024-02-29,FNCL,17,,,
19006,1,2024-02-29,FHLC,17,,,
19007,1,2024-02-29,FIDU,17,,,
19008,1,2024-02-29,FTEC,17,,,
19009,1,2024-02-29,FMAT,17,,,
19010,1,2024-02-29,FCOM,17,,,
19011,1,2024-02-29,FUTY,17,,,
19021,1,2024-02-29,PKIN,19,,,
19023,1,2024-02-29,NACB,19,,,
19025,1,2024-02-29,SCTL,14,,,
19033,1,2024-02-29,ABTS,14,,,
19039,01C,2024-02-29,LPC.,9,,,
19042,90,2024-02-29,BTCM,11,,,
19043,90,2024-02-29,MIELY,19,,,
19044,1,2024-02-29,VRNS,14,,,
19045,90,2024-02-29,MTLHY,19,,,
19052,1,2024-02-29,VIDI,17,,,
19060,1,2024-02-29,ENFR,17,,,
19067,1,2024-02-29,NEFB,19,,,
19071,1,2024-02-29,CWH,11,,,
19071,1,2024-03-31,CWH,11,,,
19074,1,2024-02-29,MENXF,19,,,
19074,01C,2024-02-29,OEE.,9,,,
19081,1,2024-02-29,FTSD,17,,,
19081,1,2024-03-31,FTSD,17,,,
19082,1,2024-02-29,IGHG,21,,,
19082,1,2024-03-31,IGHG,21,,,
19083,90,2024-02-29,NDVLY,19,,,
19084,1,2024-02-29,BHR,11,,,
19093,1,2024-02-29,APTY,19,,,
19094,1,2024-02-29,NBTB,14,,,
19100,1,2024-02-29,ASHR,17,,,
19102,1,2024-02-29,GQRE,17,,,
19107,1,2024-02-29,BANX,14,,,
19112,90,2024-02-29,DNZOY,19,,,
19113,90,2024-02-29,NSANY,19,,,
19115,90,2024-02-29,NPSKY,19,,,
19117,1,2024-02-29,BIOCQ,19,,,
19124,1,2024-02-29,NASB,19,,,
19124,1,2024-03-31,NASB,19,,,
19125,1,2024-02-29,EMFM,17,,,
19129,2,2024-02-29,HNRG,14,,,
19135,1,2024-02-29,ZEOX,19,,,
19137,1,2024-02-29,OVBC,14,,,
19141,90,2024-02-29,OJIPY,19,,,
19149,1,2024-02-29,RARE,14,,,
19150,1,2024-02-29,OSBC,14,,,
19151,91,2024-02-29,TIIAY,19,,,
19151,93,2024-02-29,TIAIY,19,,,
19154,1,2024-02-29,CARA,14,,,
19157,90,2024-02-29,OMRNY,19,,,
19159,1,2024-02-29,PWOD,14,,,
19159,1,2024-03-31,PWOD,14,,,
19167,1,2024-02-29,PAWH,19,,,
19167,1,2024-03-31,PAWH,19,,,
19170,1,2024-02-29,PGAL,17,,,
19172,1,2024-02-29,AMRK,14,,,
19175,1,2024-02-29,VNCE,11,,,
19189,1,2024-02-29,SMLR,14,,,
19191,1,2024-02-29,GENGF,19,,,
19191,1,2024-03-31,GENGF,19,,,
19191,01C,2024-02-29,GXE.,7,,,
19191,01C,2024-03-31,GXE.,7,,,
19198,1,2024-02-29,AMNP,19,,,
19205,1,2024-02-29,CAPR,14,,,
19209,1,2024-02-29,NTIC,14,,,
19253,1,2024-02-29,QPRC,19,,,
19255,1,2024-02-29,CRYM,19,,,
19259,1,2024-02-29,BYLTF,19,,,
19259,01C,2024-02-29,BYL.,7,,,
19262,1,2024-02-29,CTBI,14,,,
19262,1,2024-03-31,CTBI,14,,,
19267,1,2024-02-29,DRTTF,19,,,
19267,01C,2024-02-29,DRT.,7,,,
19269,1,2024-02-29,FYLD,21,,,
19272,1,2024-02-29,KOAN,19,,,
19274,1,2024-02-29,INGN,14,,,
19293,1,2024-02-29,FUUFF,19,,,
19293,01C,2024-02-29,FUU.,9,,,
19295,90,2024-02-29,ATHM,11,,,
19305,1,2024-02-29,PLPC,14,,,
19309,1,2024-02-29,ALVOF,19,,,
19309,01C,2024-02-29,ALV.,9,,,
19317,1,2024-02-29,AAGH,19,,,
19318,1,2024-02-29,PRK,12,,,
19318,1,2024-03-31,PRK,12,,,
19323,1,2024-02-29,CCNCF,19,,,
19323,01C,2024-02-29,KZD.,9,,,
19331,1,2024-02-29,GKIT,19,,,
19344,90,2024-02-29,SSDOY,19,,,
19347,1,2024-02-29,ICSH,21,,,
19347,1,2024-03-31,ICSH,21,,,
19349,91,2024-02-29,SIEGY,19,,,
19351,1,2024-02-29,QYLD,14,,,
19354,1,2024-02-29,VEV,14,,,
19354,01C,2024-02-29,VMC.,9,,,
19355,1,2024-02-29,SFNC,14,,,
19355,1,2024-03-31,SFNC,14,,,
19359,1,2024-02-29,CRLFF,19,,,
19359,01C,2024-02-29,CJ.,7,,,
19365,1,2024-02-29,MSNVF,19,,,
19366,1,2024-02-29,SOME,19,,,
19366,1,2024-03-31,SOME,19,,,
19367,1,2024-02-29,BLOZF,19,,,
19368,1,2024-02-29,USDU,17,,,
19370,1,2024-02-29,AGZD,14,,,
19372,1,2024-02-29,HYZD,14,,,
19379,1,2024-02-29,MOBO,19,,,
19391,1,2024-02-29,MBUU,14,,,
19392,01C,2024-02-29,MUSA.,7,,,
19394,1,2024-02-29,BMTM,19,,,
19398,1,2024-02-29,DENN,14,,,
19402,1,2024-02-29,GIII,14,,,
19408,1,2024-02-29,IBTE,14,,,
19408,1,2024-03-31,IBTE,14,,,
19412,1,2024-02-29,ITCI,14,,,
19413,90,2024-02-29,SMTOY,19,,,
19421,90,2024-02-29,SUHJY,19,,,
19421,90,2024-03-31,SUHJY,19,,,
19422,01C,2024-02-29,BCF.,9,,,
19425,1,2024-02-29,GNCAQ,19,,,
19428,1,2024-02-29,GSBC,14,,,
19431,1,2024-02-29,PPIH,14,,,
19433,1,2024-02-29,PHX,11,,,
19434,1,2024-02-29,PDT,11,,,
19434,1,2024-03-31,PDT,11,,,
19439,3,2024-02-29,KGHI,19,,,
19440,1,2024-02-29,LADR,11,,,
19447,1,2024-02-29,MEDXF,19,,,
19447,01C,2024-02-29,MDP.,7,,,
19451,1,2024-02-29,RTON,19,,,
19458,1,2024-02-29,CARM,14,,,
19467,1,2024-02-29,COCP,14,,,
19468,1,2024-02-29,FCAFF,19,,,
19468,01C,2024-02-29,FCA.UN,9,,,
19471,1,2024-02-29,RVNC,14,,,
19484,1,2024-02-29,FTAI,14,,,
19484,1,2024-03-31,FTAI,14,,,
19485,1,2024-02-29,FTHI,14,,,
19488,1,2024-02-29,FTQI,14,,,
19489,1,2024-02-29,RDVY,14,,,
19502,1,2024-02-29,RVVTF,19,,,
19507,1,2024-02-29,OUT,11,,,
19516,1,2024-02-29,IBP,11,,,
19516,1,2024-03-31,IBP,11,,,
19517,1,2024-02-29,OGS,11,,,
19517,1,2024-03-31,OGS,11,,,
19518,1,2024-02-29,KN,11,,,
19520,1,2024-02-29,SHYD,21,,,
19520,1,2024-03-31,SHYD,21,,,
19526,1,2024-02-29,FPI,11,,,
19528,1,2024-02-29,FGF.2,14,,,
19528,1,2024-03-31,FGF.2,14,,,
19533,1,2024-02-29,BLTH,19,,,
19549,1,2024-02-29,BIVI,14,,,
19551,1,2024-02-29,PCYN,19,,,
19553,01C,2024-02-29,RCD.,7,,,
19554,01C,2024-02-29,RUD.,7,,,
19555,01C,2024-02-29,RID.,7,,,
19556,01C,2024-02-29,RBO.,7,,,
19565,90,2024-02-29,RIO,11,,,
19565,90,2024-03-31,RIO,11,,,
19570,1,2024-02-29,STBA,14,,,
19574,1,2024-02-29,GCI,11,,,
19579,91,2024-02-29,JSAIY,19,,,
19581,1,2024-02-29,LE,14,,,
19582,1,2024-02-29,CTRE,11,,,
19591,90,2024-02-29,SDVKY,19,,,
19600,1,2024-02-29,CBAY,14,,,
19602,1,2024-02-29,HEAR,14,,,
19605,1,2024-02-29,RAND,14,,,
19605,1,2024-03-31,RAND,14,,,
19622,1,2024-02-29,XDSL,19,,,
19636,1,2024-02-29,VUSE,17,,,
19636,1,2024-03-31,VUSE,17,,,
19638,1,2024-02-29,EURL,17,,,
19640,2,2024-02-29,STHRF,19,,,
19640,02C,2024-02-29,SCR.,7,,,
19645,1,2024-02-29,SSET,19,,,
19647,1,2024-02-29,LC,11,,,
19649,1,2024-02-29,SABR,14,,,
19660,1,2024-02-29,LDUR,17,,,
19660,1,2024-03-31,LDUR,17,,,
19661,90,2024-02-29,TM,11,,,
19671,1,2024-02-29,DBAW,17,,,
19679,1,2024-02-29,INSO,19,,,
19687,1,2024-02-29,TVNB,19,,,
19692,1,2024-02-29,FECOF,19,,,
19709,1,2024-02-29,ATAO,19,,,
19712,2,2024-02-29,OXBR,14,,,
19713,1,2024-02-29,AUB,11,,,
19717,1,2024-02-29,NGNE,14,,,
19720,1,2024-02-29,RIBS,19,,,
19730,1,2024-02-29,PCTY,14,,,
19734,1,2024-02-29,USFR,17,,,
19735,1,2024-02-29,HEWJ,17,,,
19740,1,2024-02-29,HEWG,14,,,
19741,90,2024-02-29,SOMLY,19,,,
19743,1,2024-02-29,HEFA,21,,,
19744,90,2024-02-29,JD,14,,,
19745,1,2024-02-29,FV,14,,,
19748,1,2024-02-29,TFLO,17,,,
19748,1,2024-03-31,TFLO,17,,,
19752,1,2024-02-29,ICMB,14,,,
19752,1,2024-03-31,ICMB,14,,,
19753,1,2024-02-29,MGNI,14,,,
19761,1,2024-02-29,HEPA,14,,,
19762,1,2024-02-29,EXEO,19,,,
19767,1,2024-02-29,BTCS,14,,,
19771,1,2024-02-29,GLMD,14,,,
19784,1,2024-02-29,EGRX,14,,,
19798,2,2024-02-29,UMCN,19,,,
19802,1,2024-02-29,RMNI,14,,,
19805,01C,2024-02-29,ZEQ.,7,,,
19808,01C,2024-02-29,ZSU.,7,,,
19808,01C,2024-03-31,ZSU.,7,,,
19809,01C,2024-02-29,ZEA.,7,,,
19810,01C,2024-02-29,ZWH.,7,,,
19810,01C,2024-03-31,ZWH.,7,,,
19811,01C,2024-02-29,ZFH.,7,,,
19811,01C,2024-03-31,ZFH.,7,,,
19812,1,2024-02-29,ZBKFF,19,,,
19812,01C,2024-02-29,ZBK.,7,,,
19813,01C,2024-02-29,ZDB.,7,,,
19813,01C,2024-03-31,ZDB.,7,,,
19817,1,2024-02-29,UVSP,14,,,
19821,1,2024-02-29,NUUU,19,,,
19824,5,2024-02-29,AU,11,,,
19824,5,2024-03-31,AU,11,,,
19840,1,2024-02-29,BLEG,19,,,
19849,1,2024-02-29,ATEN,11,,,
19849,1,2024-03-31,ATEN,11,,,
19851,1,2024-02-29,CIO,11,,,
19855,1,2024-02-29,IVT,11,,,
19856,01C,2024-02-29,FW.,9,,,
19859,1,2024-02-29,AKBA,14,,,
19860,1,2024-02-29,WTBFA,19,,,
19860,1,2024-03-31,WTBFA,19,,,
19863,1,2024-02-29,USWF,19,,,
19873,1,2024-02-29,WASH,14,,,
19877,1,2024-02-29,QTWO,11,,,
19881,1,2024-02-29,TWOU,14,,,
19884,1,2024-02-29,IPKW,14,,,
19896,1,2024-02-29,VRDR,19,,,
19901,1,2024-02-29,KHTRF,19,,,
19901,01C,2024-02-29,GUD.,7,,,
19904,90,2024-02-29,WTBDY,19,,,
19908,1,2024-02-29,FIVN,14,,,
19919,1,2024-02-29,CATI,19,,,
19921,1,2024-02-29,KBA,17,,,
19925,1,2024-02-29,TPVG,11,,,
19925,1,2024-03-31,TPVG,11,,,
19927,1,2024-02-29,MC,11,,,
19934,90,2024-02-29,YMZBY,19,,,
19935,1,2024-02-29,ENLC,11,,,
19943,1,2024-02-29,FTBYF,19,,,
19943,01C,2024-02-29,FOR.,9,,,
19944,1,2024-02-29,AIRR,14,,,
19945,1,2024-02-29,DDIV,14,,,
19951,3,2024-02-29,MCET,19,,,
19959,1,2024-02-29,GVAL,21,,,
19966,1,2024-02-29,CMCT,14,,,
19974,1,2024-02-29,TSLX,11,,,
19974,1,2024-03-31,TSLX,11,,,
19977,1,2024-02-29,WATT,14,,,
19987,1,2024-02-29,AEGXF,19,,,
19987,01C,2024-02-29,ARE.,7,,,
19988,1,2024-02-29,MDWD,14,,,
19998,1,2024-02-29,MEDP,14,,,
20004,90,2024-02-29,WB,14,,,
20007,1,2024-02-29,DPMLF,19,,,
20007,01C,2024-02-29,DPM.,7,,,
20009,90,2024-02-29,LEJU,11,,,
20010,1,2024-02-29,AGRX,14,,,
20011,1,2024-02-29,MTUS,11,,,
20013,1,2024-02-29,NMA,11,,,
20013,1,2024-03-31,NMA,11,,,
20018,1,2024-02-29,ALDX,14,,,
20019,1,2024-02-29,CVBF,14,,,
20020,1,2024-02-29,CVEO,11,,,
20029,1,2024-02-29,CSWC,14,,,
20029,1,2024-03-31,CSWC,14,,,
20040,1,2024-02-29,SCYX,14,,,
20041,90,2024-02-29,TCTM,14,,,
20044,1,2024-02-29,BGSF,11,,,
20057,1,2024-02-29,JMON,19,,,
20058,1,2024-02-29,PGIFF,19,,,
20058,1,2024-03-31,PGIFF,19,,,
20058,01C,2024-02-29,PGI.UN,7,,,
20058,01C,2024-03-31,PGI.UN,7,,,
20059,1,2024-02-29,FREVS,19,,,
20066,1,2024-02-29,FPL,11,,,
20066,1,2024-03-31,FPL,11,,,
20067,90,2024-02-29,IHG,11,,,
20074,1,2024-02-29,PETV,14,,,
20087,1,2024-02-29,TOLZ,17,,,
20088,1,2024-02-29,BOX,11,,,
20096,1,2024-02-29,CGC,14,,,
20096,01C,2024-02-29,WEED.,7,,,
20098,1,2024-02-29,EDOG,17,,,
20105,1,2024-02-29,FSK,11,,,
20105,1,2024-03-31,FSK,11,,,
20109,1,2024-02-29,CCBG,14,,,
20109,1,2024-03-31,CCBG,14,,,
20115,1,2024-02-29,PAHC,14,,,
20115,1,2024-03-31,PAHC,14,,,
20116,1,2024-02-29,PAYC,11,,,
20116,1,2024-03-31,PAYC,11,,,
20126,1,2024-02-29,WMS,11,,,
20128,90,2024-02-29,CMCM,11,,,
20129,90,2024-02-29,MTLS,14,,,
20130,1,2024-02-29,AY,14,,,
20130,1,2024-03-31,AY,14,,,
20143,1,2024-02-29,CCLD,14,,,
20147,1,2024-02-29,SDPI,12,,,
20160,1,2024-02-29,PRCX,19,,,
20170,90,2024-02-29,TOUR,14,,,
20177,1,2024-02-29,SCIA,19,,,
20180,1,2024-02-29,ARET,19,,,
20185,1,2024-02-29,SMG,11,,,
20185,1,2024-03-31,SMG,11,,,
20190,1,2024-02-29,GF,11,,,
20190,1,2024-03-31,GF,11,,,
20214,1,2024-02-29,ERF,11,,,
20214,1,2024-03-31,ERF,11,,,
20214,01C,2024-02-29,ERF.,7,,,
20214,01C,2024-03-31,ERF.,7,,,
20225,1,2024-02-29,NERV,14,,,
20228,1,2024-02-29,CTLT,11,,,
20232,1,2024-02-29,KEYS,11,,,
20233,1,2024-02-29,TBPH,14,,,
20235,1,2024-02-29,DNOW,11,,,
20262,1,2024-02-29,MBGH,19,,,
20269,1,2024-02-29,CWLPF,19,,,
20269,01C,2024-02-29,CWL.,7,,,
20281,1,2024-02-29,OBNNF,19,,,
20281,01C,2024-02-29,OSK.,7,,,
20285,1,2024-02-29,CBWBF,19,,,
20285,1,2024-03-31,CBWBF,19,,,
20285,01C,2024-02-29,CWB.,7,,,
20285,01C,2024-03-31,CWB.,7,,,
20299,1,2024-02-29,LOB,11,,,
20299,1,2024-03-31,LOB,11,,,
