gvkey,iid,datadate,tic,exchg,,,
2136,1,2024-02-29,VZ,11,,,
2137,1,2024-02-29,BCE,11,,,
2137,1,2024-03-31,BCE,11,,,
2137,01C,2024-02-29,BCE.,7,,,
2137,01C,2024-03-31,BCE.,7,,,
2176,1,2024-02-29,BRK.A,11,,,
2176,2,2024-02-29,BRK.B,11,,,
2184,1,2024-02-29,BBY,11,,,
2220,1,2024-02-29,BIO,11,,,
2220,2,2024-02-29,BIO.B,11,,,
2240,1,2024-02-29,NIMU,19,,,
2259,1,2024-02-29,BKH,11,,,
2259,1,2024-03-31,BKH,11,,,
2269,1,2024-02-29,HRB,11,,,
2269,1,2024-03-31,HRB,11,,,
2270,3,2024-02-29,VAL,11,,,
2277,3,2024-02-29,BRRE,19,,,
2285,1,2024-02-29,BA,11,,,
2302,2,2024-02-29,KJFI,19,,,
2312,1,2024-02-29,RHI,11,,,
2352,1,2024-02-29,BRC,11,,,
2369,1,2024-02-29,BN,11,,,
2369,1,2024-03-31,BN,11,,,
2369,01C,2024-02-29,BN.,7,,,
2369,01C,2024-03-31,BN.,7,,,
2381,1,2024-02-29,BRER,19,,,
2390,1,2024-02-29,BRID,14,,,
2403,1,2024-02-29,BMY,11,,,
2408,1,2024-02-29,TU,11,,,
2408,1,2024-03-31,TU,11,,,
2408,01C,2024-02-29,T.,7,,,
2408,01C,2024-03-31,T.,7,,,
2410,90,2024-02-29,BP,11,,,
2410,90C,2024-02-29,BP.U,7,,,
2435,1,2024-02-29,BF.B,11,,,
2435,1,2024-03-31,BF.B,11,,,
2435,2,2024-02-29,BF.A,11,,,
2435,2,2024-03-31,BF.A,11,,,
2436,1,2024-02-29,CAL,11,,,
2444,1,2024-02-29,BC,11,,,
2448,1,2024-02-29,MTRN,11,,,
2448,1,2024-03-31,MTRN,11,,,
2467,1,2024-02-29,WNMLA,19,,,
2482,1,2024-02-29,FRTN,19,,,
2485,1,2024-02-29,ELEK,19,,,
2497,1,2024-02-29,MTZ,11,,,
2504,1,2024-02-29,UIS,11,,,
2519,1,2024-02-29,BUKS,19,,,
2526,1,2024-02-29,CAE,11,,,
2526,01C,2024-02-29,CAE.,7,,,
2536,1,2024-02-29,RAMP,11,,,
2547,1,2024-02-29,CI,11,,,
2547,1,2024-03-31,CI,11,,,
2558,1,2024-02-29,CNA,11,,,
2558,1,2024-03-31,CNA,11,,,
2573,1,2024-02-29,CSPI,14,,,
2573,1,2024-03-31,CSPI,14,,,
2574,1,2024-02-29,CSX,14,,,
2577,1,2024-02-29,CTS,11,,,
2578,8,2024-02-29,TLS,14,,,
2581,1,2024-02-29,CVV,14,,,
2593,1,2024-02-29,CBT,11,,,
2593,1,2024-03-31,CBT,11,,,
2596,1,2024-02-29,CACI,11,,,
2615,1,2024-02-29,CAMP,14,,,
2618,1,2024-02-29,CAEN,19,,,
2626,1,2024-02-29,KRED,19,,,
2628,1,2024-02-29,CWT,11,,,
2662,1,2024-02-29,CBLRF,19,,,
2663,1,2024-02-29,CPB,11,,,
2675,1,2024-02-29,MLFNF,19,,,
2675,1,2024-03-31,MLFNF,19,,,
2675,01C,2024-02-29,MFI.,7,,,
2675,01C,2024-03-31,MFI.,7,,,
2696,1,2024-02-29,CNI,11,,,
2696,1,2024-03-31,CNI,11,,,
2696,01C,2024-02-29,CNR.,7,,,
2696,01C,2024-03-31,CNR.,7,,,
2698,1,2024-02-29,CP,11,,,
2698,01C,2024-02-29,CP.,7,,,
2703,1,2024-02-29,CDNAF,19,,,
2703,1,2024-03-31,CDNAF,19,,,
2703,01C,2024-02-29,CTC.A,7,,,
2703,01C,2024-03-31,CTC.A,7,,,
2703,2,2024-02-29,CDNTF,19,,,
2703,2,2024-03-31,CDNTF,19,,,
2703,02C,2024-02-29,CTC.,7,,,
2703,02C,2024-03-31,CTC.,7,,,
2710,2,2024-02-29,STZ,11,,,
2721,90,2024-02-29,CAJPY,19,,,
2735,1,2024-02-29,CPTP,19,,,
2751,1,2024-02-29,CAH,11,,,
2771,1,2024-02-29,CSL,11,,,
2771,1,2024-03-31,CSL,11,,,
2777,1,2024-02-29,ASWRF,19,,,
2777,01C,2024-02-29,GUG.,9,,,
2787,1,2024-02-29,CRS,11,,,
2787,1,2024-03-31,CRS,11,,,
2807,1,2024-02-29,CASY,14,,,
2817,1,2024-02-29,CAT,11,,,
2818,1,2024-02-29,CATO,11,,,
2820,2,2024-02-29,CVCO,14,,,
2829,1,2024-02-29,RFIL,14,,,
2851,1,2024-02-29,PZOO,19,,,
2884,1,2024-02-29,LUMN,11,,,
2890,1,2024-02-29,CRMK,19,,,
2946,1,2024-02-29,CHTM,19,,,
2951,1,2024-02-29,DLPX,19,,,
2960,1,2024-02-29,CHE,11,,,
2968,1,2024-02-29,JPM,11,,,
2986,1,2024-02-29,CPK,11,,,
2986,1,2024-03-31,CPK,11,,,
2990,1,2024-02-29,IMNN,14,,,
2991,1,2024-02-29,CVX,11,,,
2991,1,2024-03-31,CVX,11,,,
2999,1,2024-02-29,CVR,12,,,
2999,1,2024-03-31,CVR,12,,,
3007,1,2024-02-29,EAT,11,,,
3026,1,2024-02-29,CHD,11,,,
3026,1,2024-03-31,CHD,11,,,
3028,1,2024-02-29,CHDN,14,,,
3062,1,2024-02-29,CTAS,14,,,
3105,9,2024-02-29,IHRT,14,,,
3107,1,2024-02-29,CLF,11,,,
3121,1,2024-02-29,CLX,11,,,
3138,1,2024-02-29,COKE,14,,,
3144,1,2024-02-29,KO,11,,,
3144,1,2024-03-31,KO,11,,,
3153,1,2024-02-29,CDE,11,,,
3158,1,2024-02-29,COHU,14,,,
3170,1,2024-02-29,CL,11,,,
3221,1,2024-02-29,AON,11,,,
3226,1,2024-02-29,CMCSA,14,,,
3231,1,2024-02-29,CMA,11,,,
3231,1,2024-03-31,CMA,11,,,
3238,1,2024-02-29,CBSH,14,,,
3238,1,2024-03-31,CBSH,14,,,
3243,1,2024-02-29,C,11,,,
3246,1,2024-02-29,CMC,11,,,
3253,1,2024-02-29,CBUIF,19,,,
3278,1,2024-02-29,CAR,14,,,
3336,1,2024-02-29,DXC,11,,,
3358,2,2024-02-29,CMTL,14,,,
3362,1,2024-02-29,CAG,11,,,
3363,1,2024-02-29,UMAX,19,,,
3369,1,2024-02-29,RAVE,14,,,
3382,1,2024-02-29,SSTK,11,,,
3382,1,2024-03-31,SSTK,11,,,
3410,2,2024-02-29,TCI,11,,,
3413,1,2024-02-29,ED,11,,,
3424,1,2024-02-29,BH,11,,,
3424,4,2024-02-29,BH.A,11,,,
3429,1,2024-02-29,CTO,11,,,
3429,1,2024-03-31,CTO,11,,,
3439,1,2024-02-29,CMS,11,,,
3504,1,2024-02-29,COO,14,,,
3505,1,2024-02-29,TAP,11,,,
3505,01C,2024-02-29,TAP.Z.,7,,,
3505,2,2024-02-29,TAP.A,11,,,
3505,02C,2024-02-29,TAP.Z,7,,,
3516,1,2024-02-29,CBYDF,19,,,
3516,1,2024-03-31,CBYDF,19,,,
3516,01C,2024-02-29,CSW.A,7,,,
3516,01C,2024-03-31,CSW.A,7,,,
3516,2,2024-02-29,CRBBF,19,,,
3516,2,2024-03-31,CRBBF,19,,,
3516,02C,2024-02-29,CSW.B,7,,,
3516,02C,2024-03-31,CSW.B,7,,,
3532,1,2024-02-29,GLW,11,,,
3562,1,2024-02-29,CUZ,11,,,
3570,1,2024-02-29,CBRL,14,,,
3580,1,2024-02-29,CR,11,,,
3580,1,2024-03-31,CR,11,,,
3581,1,2024-02-29,CRD.B,11,,,
3581,1,2024-03-31,CRD.B,11,,,
3581,2,2024-02-29,CRD.A,11,,,
3581,2,2024-03-31,CRD.A,11,,,
3592,1,2024-02-29,OMF,11,,,
3619,1,2024-02-29,CCK,11,,,
3619,1,2024-03-31,CCK,11,,,
3622,1,2024-02-29,CRWS,14,,,
3622,1,2024-03-31,CRWS,14,,,
3643,1,2024-02-29,CFR,11,,,
3647,1,2024-02-29,CULP,11,,,
3650,1,2024-02-29,CMI,11,,,
3650,1,2024-03-31,CMI,11,,,
3662,1,2024-02-29,CW,11,,,
3691,1,2024-02-29,GTBP,14,,,
3708,3,2024-02-29,WEN,14,,,
3734,2,2024-02-29,DAN,11,,,
3735,1,2024-02-29,DHR,11,,,
3761,1,2024-02-29,DAIO,14,,,
3806,1,2024-02-29,DWSN,14,,,
3807,1,2024-02-29,DXR,14,,,
3811,1,2024-02-29,TZPC,19,,,
3813,1,2024-02-29,TGT,11,,,
3813,1,2024-03-31,TGT,11,,,
3835,1,2024-02-29,DE,11,,,
3842,1,2024-02-29,DVLN,19,,,
3851,3,2024-02-29,DAL,11,,,
3863,1,2024-02-29,DLX,11,,,
3863,1,2024-03-31,DLX,11,,,
3897,1,2024-02-29,DTE,11,,,
3905,1,2024-02-29,ATGE,11,,,
3908,1,2024-02-29,DEWY,19,,,
3915,1,2024-02-29,BIOQ,19,,,
3937,3,2024-02-29,PYYX,19,,,
3946,2,2024-02-29,DBD,11,,,
3962,2,2024-02-29,NSYS,14,,,
